image_name;crista_visual_id;instance_label_value;decoded_class;area_px;centroid_x;centroid_y;assigned_mito_id;assignment_status;overlap_details
C1_fibroV1535_20000x1A_mito;1;2001;2000;171;903.392;118.064;9;assigned;9[171 px]
C1_fibroV1535_20000x1A_mito;2;2002;2000;372;1340.47;1666.465;11;assigned;11[372 px]
C1_fibroV1535_20000x1A_mito;3;3001;3000;761;508.142;43.562;3;assigned;3[761 px]
C1_fibroV1535_20000x1A_mito;4;3002;3000;525;660.992;366.267;4;assigned;4[525 px]
C1_fibroV1535_20000x1A_mito;5;3003;3000;672;683.312;382.18;4;assigned;4[672 px]
C1_fibroV1535_20000x1A_mito;6;3004;3000;833;717.465;481.648;4;assigned;4[833 px]
C1_fibroV1535_20000x1A_mito;7;3005;3000;689;700.997;516.747;4;assigned;4[689 px]
C1_fibroV1535_20000x1A_mito;8;3006;3000;556;695.817;731.608;6;assigned;6[556 px]
C1_fibroV1535_20000x1A_mito;9;3007;3000;23;797.696;832.696;6;assigned;6[23 px]
C1_fibroV1535_20000x1A_mito;10;3008;3000;29;782.517;845.759;6;assigned;6[29 px]
C1_fibroV1535_20000x1A_mito;11;3009;3000;272;743.996;930.526;7;assigned;7[272 px]
C1_fibroV1535_20000x1A_mito;12;3010;3000;361;768.396;955.463;7;assigned;7[361 px]
C1_fibroV1535_20000x1A_mito;13;3011;3000;464;1428.108;1015.748;12;assigned;12[464 px]
C1_fibroV1535_20000x1A_mito;14;3012;3000;1;809.0;1002.0;7;assigned;7[1 px]
C1_fibroV1535_20000x1A_mito;15;3013;3000;283;775.996;1027.763;7;assigned;7[283 px]
C1_fibroV1535_20000x1A_mito;16;3014;3000;542;835.832;1060.574;7;assigned;7[542 px]
C1_fibroV1535_20000x1A_mito;17;3015;3000;525;1458.6;1053.966;12;assigned;12[525 px]
C1_fibroV1535_20000x1A_mito;18;3016;3000;537;786.616;1149.87;8;assigned;8[537 px]
C1_fibroV1535_20000x1A_mito;19;3017;3000;518;1687.824;1512.041;13;assigned;13[518 px]
C1_fibroV1535_20000x1A_mito;20;3018;3000;713;1260.269;1596.234;11;assigned;11[713 px]
C1_fibroV1535_20000x1A_mito;21;3019;3000;478;1540.013;1960.753;11;assigned;11[478 px]
C1_fibroV1535_20000x1A_mito;22;3020;3000;78;1612.974;2002.731;11;assigned;11[78 px]
C1_fibroV1535_20000x1A_mito;23;3021;3000;13;1613.923;2013.615;11;assigned;11[13 px]
C1_fibroV1535_20000x1A_mito;24;3022;3000;334;1623.536;2032.225;11;assigned;11[334 px]
C1_fibroV1535_20000x1A_mito;25;4001;4000;484;727.126;758.959;6;assigned;6[484 px]
C1_fibroV1535_20000x1A_mito;26;4002;4000;226;768.097;799.982;6;assigned;6[226 px]
C1_fibroV1535_20000x1A_mito;27;4003;4000;30;732.8;802.967;6;assigned;6[30 px]
C1_fibroV1535_20000x1A_mito;28;4004;4000;185;1601.811;1255.832;13;assigned;13[185 px]
C1_fibroV1535_20000x1A_mito;29;4005;4000;81;1624.63;1313.531;13;assigned;13[81 px]
C1_fibroV1535_20000x1A_mito;30;4006;4000;419;1335.344;1646.94;11;assigned;11[419 px]
C1_fibroV1535_20000x1A_mito;31;4007;4000;1;1339.0;1663.0;11;assigned;11[1 px]
C1_fibroV1535_20000x1A_mito;32;4008;4000;178;1277.185;1863.376;11;assigned;11[178 px]
C1_fibroV1535_20000x1A_mito;33;5001;5000;116;846.5;69.181;9;assigned;9[116 px]
C1_fibroV1535_20000x1A_mito;34;5002;5000;150;867.613;80.493;9;assigned;9[150 px]
C1_fibroV1535_20000x1A_mito;35;5003;5000;277;891.209;101.469;9;assigned;9[277 px]
C1_fibroV1535_20000x1A_mito;36;5004;5000;76;692.855;418.803;4;assigned;4[76 px]
C1_fibroV1535_20000x1A_mito;37;5005;5000;39;609.051;668.0;6;assigned;6[39 px]
C1_fibroV1535_20000x1A_mito;38;5006;5000;525;681.488;710.686;6;assigned;6[525 px]
C1_fibroV1535_20000x1A_mito;39;5007;5000;224;805.54;857.857;6;assigned;6[224 px]
C1_fibroV1535_20000x1A_mito;40;5008;5000;265;818.789;881.434;6;assigned;6[265 px]
C1_fibroV1535_20000x1A_mito;41;5009;5000;445;661.865;887.467;7;assigned;7[445 px]
C1_fibroV1535_20000x1A_mito;42;5010;5000;521;1411.207;993.202;12;assigned;12[521 px]
C1_fibroV1535_20000x1A_mito;43;5011;5000;365;776.0;985.532;7;assigned;7[365 px]
C1_fibroV1535_20000x1A_mito;44;5012;5000;172;828.314;1137.983;8;assigned;8[172 px]
C1_fibroV1535_20000x1A_mito;45;5013;5000;5;824.6;1153.2;8;assigned;8[5 px]
C1_fibroV1535_20000x1A_mito;46;5014;5000;174;810.19;1177.793;8;assigned;8[174 px]
C1_fibroV1535_20000x1A_mito;47;5015;5000;7;1640.571;1387.714;13;assigned;13[7 px]
C1_fibroV1535_20000x1A_mito;48;5016;5000;184;1665.489;1435.87;13;assigned;13[184 px]
C1_fibroV1535_20000x1A_mito;49;5017;5000;243;1693.514;1490.062;13;assigned;13[243 px]
C1_fibroV1535_20000x1A_mito;50;5018;5000;494;1690.419;1591.583;13;assigned;13[494 px]
C1_fibroV1535_20000x1A_mito;51;5019;5000;567;1301.189;1631.132;11;assigned;11[567 px]
C1_fibroV1535_20000x1A_mito;52;5020;5000;576;1369.014;1676.111;11;assigned;11[576 px]
C1_fibroV1535_20000x1A_mito;53;5021;5000;128;1377.984;1696.672;11;assigned;11[128 px]
C1_fibroV1535_20000x1A_mito;54;5022;5000;5;1693.6;1709.2;14;assigned;14[5 px]
C1_fibroV1535_20000x1A_mito;55;5023;5000;129;1302.519;1845.31;11;assigned;11[129 px]
C1_fibroV1535_20000x1A_mito;56;5024;5000;556;1259.656;1881.827;11;assigned;11[556 px]
C1_fibroV1535_20000x1A_mito;57;5025;5000;67;1466.284;1899.239;11;assigned;11[67 px]
C1_fibroV1535_20000x1A_mito;58;5026;5000;213;1657.859;2036.54;11;assigned;11[213 px]
C1_fibroV1535_20000x1A_mito;59;6001;6000;858;479.656;112.661;3;assigned;3[858 px]
C1_fibroV1535_20000x1A_mito;60;6002;6000;112;663.67;692.196;6;assigned;6[112 px]
C1_fibroV1535_20000x1A_mito;61;6003;6000;107;644.121;713.925;6;assigned;6[107 px]
C1_fibroV1535_20000x1A_mito;62;6004;6000;3;657.667;705.667;6;assigned;6[3 px]
C1_fibroV1535_20000x1A_mito;63;6005;6000;420;805.224;1039.95;7;assigned;7[420 px]
C1_fibroV1535_20000x1A_mito;64;8001;8000;105;1472.648;1096.971;12;assigned;12[105 px]
C1_fibroV1535_20000x1A_mito;65;8002;8000;74;1600.973;1281.405;13;assigned;13[74 px]
C1_fibroV1535_20000x1A_mito;66;8003;8000;44;1717.023;1574.977;13;assigned;13[44 px]
C1_fibroV1535_20000x1A_mito;67;8004;8000;46;1380.239;1739.739;11;assigned;11[46 px]
C1_fibroV1535_20000x1A_mito;68;8005;8000;76;1286.303;1841.461;11;assigned;11[76 px]
C1_fibroV1535_20000x1A_mito;69;8006;8000;122;1532.287;1933.27;11;assigned;11[122 px]
C1_fibroV1535_20000x1A_mito;70;10001;10000;118;675.602;862.517;7;assigned;7[118 px]
C1_fibroV1535_20000x1A_mito;71;10002;10000;674;718.377;890.718;7;assigned;7[674 px]
C1_fibroV1535_20000x1A_mito;72;10003;10000;14;730.5;1101.857;8;assigned;8[14 px]
C1_fibroV1535_20000x1A_mito;73;10004;10000;1044;748.658;1131.347;8;assigned;8[1044 px]
C1_fibroV1535_20000x1A_mito;74;10005;10000;67;1239.806;1565.866;11;assigned;11[67 px]
C1_fibroV1535_20000x1A_mito;75;10006;10000;631;1394.433;1783.269;11;assigned;11[631 px]
