image_name;mitochondria_count;total_cristae;class_2000;class_3000;class_4000;class_5000;class_6000;class_7000;class_8000;class_9000;class_10000;class_11000;class_12000;class_13000
C2_002_30000x_mito;4;25;2;0;6;14;0;0;2;0;1;0;0;0
C2_006_20000x_mito;3;14;0;0;7;3;1;0;1;0;2;0;0;0
C2_011_30000x_mito;3;19;0;2;4;7;2;0;4;0;0;0;0;0
C2_016_25000x_mito;6;28;1;4;3;13;0;0;1;0;5;1;0;0
C2_024_30000x_mito;6;68;5;5;12;24;6;0;15;0;0;1;0;0
C2_030_30000x_mito;3;23;1;4;2;8;0;1;4;2;0;1;0;0
C2_039_25000x_mito;15;96;8;19;17;37;3;2;6;0;0;4;0;0
P10_R_HD_fibro_001_mito;1;4;0;1;0;0;0;0;3;0;0;0;0;0
P10_R_HD_fibro_002_mito;2;17;0;0;6;7;0;0;4;0;0;0;0;0
P10_R_HD_fibro_003_mito;2;20;0;3;6;5;1;3;2;0;0;0;0;0
P10_R_HD_fibro_004_mito;2;53;4;6;13;17;3;3;6;0;0;1;0;0
P10_R_HD_fibro_005_mito;2;7;1;2;0;3;0;0;1;0;0;0;0;0
P10_R_HD_fibro_006_mito;4;9;0;1;0;7;0;0;0;0;0;1;0;0
P10_R_HD_fibro_007_mito;2;12;0;1;1;5;0;0;5;0;0;0;0;0
P10_R_HD_fibro_009_mito;4;35;2;5;6;14;4;0;3;0;0;1;0;0
P10_R_HD_fibro_010_mito;3;52;8;3;7;16;0;2;15;0;0;1;0;0
P1_F_HD_fibro_001_500x_mito;5;20;0;0;11;6;2;0;1;0;0;0;0;0
P1_F_HD_fibro_002_200x_mito;6;8;0;0;0;4;1;0;3;0;0;0;0;0
P1_F_HD_fibro_004_200x_mito;4;25;0;0;2;15;3;0;5;0;0;0;0;0
P1_F_HD_fibro_005_200x_mito;1;8;0;0;3;1;0;0;4;0;0;0;0;0
P1_F_HD_fibro_006_200x_mito;3;37;1;0;11;18;0;0;6;0;0;1;0;0
P1_F_HD_fibro_007_200x_mito;11;51;0;0;20;8;3;10;3;0;0;0;7;0
P2_N_HD_fibro_002_500x_mito;15;121;6;3;35;31;3;1;28;0;0;14;0;0
P2_N_HD_fibro_003_mito;4;6;0;0;0;1;2;0;3;0;0;0;0;0
P2_N_HD_fibro_004_mito;4;28;0;4;3;10;1;1;7;0;0;2;0;0
P2_N_HD_fibro_005_mito;3;12;0;0;5;4;0;0;3;0;0;0;0;0
P2_N_HD_fibro_006_mito;2;8;0;0;0;4;0;0;2;0;0;2;0;0
P2_N_HD_fibro_008_500x_mito;4;38;0;4;9;12;0;2;10;0;0;1;0;0
P2_N_HD_fibro_010_mito;3;20;0;0;3;16;0;0;1;0;0;0;0;0
