image_name;mitochondrion_id;centroid_x;centroid_y;area_px;class_2000;class_3000;class_4000;class_5000;class_6000;class_7000;class_8000;class_9000;class_10000;class_11000;class_12000;class_13000;total_cristae
C2_002_30000x_mito;1;617.384;830.773;82610;2;0;3;14;0;0;2;0;0;0;0;0;21
C2_002_30000x_mito;2;1085.211;560.158;38;0;0;0;0;0;0;0;0;0;0;0;0;0
C2_002_30000x_mito;3;1100.6;563.971;35;0;0;0;0;0;0;0;0;0;0;0;0;0
C2_002_30000x_mito;4;1545.881;1566.901;3576;0;0;3;0;0;0;0;0;1;0;0;0;4
C2_006_20000x_mito;1;24.631;760.949;3714;0;0;4;0;0;0;0;0;0;0;0;0;4
C2_006_20000x_mito;2;227.953;653.983;3184;0;0;1;1;0;0;0;0;0;0;0;0;2
C2_006_20000x_mito;3;1075.105;1170.214;17090;0;0;2;2;1;0;1;0;2;0;0;0;8
C2_011_30000x_mito;1;20.925;293.254;3390;0;1;0;1;0;0;0;0;0;0;0;0;2
C2_011_30000x_mito;2;615.77;605.544;67907;0;0;2;6;2;0;3;0;0;0;0;0;13
C2_011_30000x_mito;3;1580.261;898.234;12395;0;1;2;0;0;0;1;0;0;0;0;0;4
C2_016_25000x_mito;1;88.253;969.251;4693;0;0;0;1;0;0;0;0;0;0;0;0;1
C2_016_25000x_mito;2;759.897;719.382;14803;0;0;0;1;0;0;0;0;0;0;0;0;1
C2_016_25000x_mito;3;982.576;893.237;46435;1;2;2;6;0;0;1;0;1;0;0;0;13
C2_016_25000x_mito;4;1218.554;805.378;13541;0;2;1;2;0;0;0;0;0;0;0;0;5
C2_016_25000x_mito;5;1690.006;920.074;8303;0;0;0;1;0;0;0;0;0;1;0;0;2
C2_016_25000x_mito;6;1927.918;1087.987;31251;0;0;0;2;0;0;0;0;4;0;0;0;6
C2_024_30000x_mito;1;263.834;483.815;47446;0;0;0;7;0;0;1;0;0;0;0;0;8
C2_024_30000x_mito;2;387.588;328.436;120916;5;2;9;7;4;0;10;0;0;0;0;0;37
C2_024_30000x_mito;3;586.3;457.5;10;0;0;0;0;0;0;0;0;0;0;0;0;0
C2_024_30000x_mito;4;591.364;465.727;11;0;0;0;0;0;0;0;0;0;0;0;0;0
C2_024_30000x_mito;5;1079.434;1278.211;89954;0;3;3;10;2;0;4;0;0;1;0;0;23
C2_024_30000x_mito;6;1197.4;1356.3;10;0;0;0;0;0;0;0;0;0;0;0;0;0
C2_030_30000x_mito;1;433.504;340.018;54502;0;2;2;5;0;0;4;2;0;0;0;0;15
C2_030_30000x_mito;2;1213.419;613.625;11594;0;0;0;1;0;0;0;0;0;0;0;0;1
C2_030_30000x_mito;3;1460.013;634.649;24473;1;2;0;2;0;1;0;0;0;1;0;0;7
C2_039_25000x_mito;1;115.206;876.248;9970;0;0;1;1;0;0;0;0;0;1;0;0;3
C2_039_25000x_mito;2;216.441;681.703;23046;0;0;1;1;1;0;0;0;0;0;0;0;3
C2_039_25000x_mito;3;261.555;1077.557;19165;0;1;0;3;0;0;1;0;0;0;0;0;5
C2_039_25000x_mito;4;481.237;469.392;26945;0;0;0;3;0;1;1;0;0;0;0;0;5
C2_039_25000x_mito;5;586.321;1504.65;12435;0;3;1;4;0;0;0;0;0;0;0;0;8
C2_039_25000x_mito;6;591.463;1289.448;16920;0;1;0;2;0;0;0;0;0;0;0;0;3
C2_039_25000x_mito;7;676.015;642.236;51756;0;2;2;5;0;0;0;0;0;0;0;0;9
C2_039_25000x_mito;8;747.628;1335.693;11546;1;0;1;0;0;0;1;0;0;0;0;0;3
C2_039_25000x_mito;9;846.06;1212.468;11712;0;0;1;0;0;0;0;0;0;0;0;0;1
C2_039_25000x_mito;10;862.841;743.474;8099;0;0;1;3;0;0;0;0;0;0;0;0;4
C2_039_25000x_mito;11;924.988;666.092;4905;0;0;0;0;0;0;0;0;0;0;0;0;0
C2_039_25000x_mito;12;1043.951;1221.756;33061;3;5;2;3;1;0;0;0;0;0;0;0;14
C2_039_25000x_mito;13;1080.765;669.93;49679;1;4;5;6;1;1;1;0;0;3;0;0;22
C2_039_25000x_mito;14;1485.062;1663.933;9330;2;1;1;0;0;0;0;0;0;0;0;0;4
C2_039_25000x_mito;15;1497.578;1557.325;34387;1;2;1;6;0;0;2;0;0;0;0;0;12
P10_R_HD_fibro_001_mito;1;1178.865;1514.205;47230;0;1;0;0;0;0;3;0;0;0;0;0;4
P10_R_HD_fibro_002_mito;1;887.339;1080.441;92031;0;0;5;5;0;0;4;0;0;0;0;0;14
P10_R_HD_fibro_002_mito;2;1483.542;911.765;76749;0;0;1;2;0;0;0;0;0;0;0;0;3
P10_R_HD_fibro_003_mito;1;894.269;941.305;38608;0;0;0;0;0;2;1;0;0;0;0;0;3
P10_R_HD_fibro_003_mito;2;1081.696;1731.932;90302;0;3;6;5;1;1;1;0;0;0;0;0;17
P10_R_HD_fibro_004_mito;1;826.922;961.025;177310;4;3;11;10;0;0;5;0;0;0;0;0;33
P10_R_HD_fibro_004_mito;2;994.434;1497.711;161341;0;3;2;7;3;3;1;0;0;1;0;0;20
P10_R_HD_fibro_005_mito;1;153.864;1233.682;61659;0;0;0;2;0;0;0;0;0;0;0;0;2
P10_R_HD_fibro_005_mito;2;897.935;1294.078;136696;1;2;0;1;0;0;1;0;0;0;0;0;5
P10_R_HD_fibro_006_mito;1;583.999;1049.431;32678;0;0;0;3;0;0;0;0;0;1;0;0;4
P10_R_HD_fibro_006_mito;2;834.093;638.331;8061;0;0;0;3;0;0;0;0;0;0;0;0;3
P10_R_HD_fibro_006_mito;3;877.636;296.989;6731;0;1;0;0;0;0;0;0;0;0;0;0;1
P10_R_HD_fibro_006_mito;4;1197.389;1818.2;26277;0;0;0;1;0;0;0;0;0;0;0;0;1
P10_R_HD_fibro_007_mito;1;1155.255;1567.966;40723;0;1;1;2;0;0;0;0;0;0;0;0;4
P10_R_HD_fibro_007_mito;2;1256.59;1029.558;68152;0;0;0;3;0;0;5;0;0;0;0;0;8
P10_R_HD_fibro_009_mito;1;975.902;1080.897;128829;1;5;2;5;1;0;2;0;0;1;0;0;17
P10_R_HD_fibro_009_mito;2;1080.493;2278.746;44449;0;0;2;3;0;0;0;0;0;0;0;0;5
P10_R_HD_fibro_009_mito;3;1423.576;1833.901;63235;1;0;2;5;2;0;1;0;0;0;0;0;11
P10_R_HD_fibro_009_mito;4;1583.923;163.461;34039;0;0;0;1;1;0;0;0;0;0;0;0;2
